,ID,Name,Year,Rating,Duration,Reviews,Director,Genre,Link
72,tt0121220,Dragon Ball Z: Doragon bôru zetto,1989,8.7,24m,59,Jôji Yanami|Kyle Hebert|Masako Nozawa,Animation|Action|Adventure,https://www.imdb.com/title/tt0121220/
73,tt0264235,Curb Your Enthusiasm,2000,8.7,28m,288,Larry David|Cheryl Hines|Jeff Garlin,Comedy,https://www.imdb.com/title/tt0264235/
74,tt0384766,Rome,2005,8.7,52m,290,Kevin McKidd|Ray Stevenson|Polly Walker,Action|Drama|History,https://www.imdb.com/title/tt0384766/
75,tt0214341,Dragon Ball Z,1989,8.7,24m,187,Doc Harris|Christopher Sabat|Scott McNeil,Animation|Action|Adventure,https://www.imdb.com/title/tt0214341/
76,tt0074006,"I, Claudius",1976,8.7,11h 9m,125,Derek Jacobi|John Hurt|Siân Phillips,Biography|Drama|History,https://www.imdb.com/title/tt0074006/
77,tt10233448,Vinland Saga,2019,8.7,24m,167,Keith Silverstein|Zach Aguilar|Ben Diskin,Animation|Action|Adventure,https://www.imdb.com/title/tt10233448/
78,tt0118421,Oz,1997,8.7,55m,199,Ernie Hudson|J.K. Simmons|Lee Tergesen,Crime|Drama|Thriller,https://www.imdb.com/title/tt0118421/
79,tt7660850,Succession,2018,8.7,1h,727,Nicholas Braun|Brian Cox|Kieran Culkin,Drama,https://www.imdb.com/title/tt7660850/
80,tt6741278,Invincible,2021,8.7,50m,718,Steven Yeun|J.K. Simmons|Sandra Oh,Animation|Action|Adventure,https://www.imdb.com/title/tt6741278/
81,tt5687612,Fleabag,2016,8.7,27m,592,Phoebe Waller-Bridge|Sian Clifford|Olivia Colman,Comedy|Drama,https://www.imdb.com/title/tt5687612/
82,tt1831164,Leyla ile Mecnun,2011,8.7,1h 20m,72,Ali Atay|Serkan Keskin|Ahmet Mümtaz Taylan,Nan,https://www.imdb.com/title/tt1831164/
83,tt0367279,Arrested Development,2003,8.7,22m,456,Jason Bateman|Michael Cera|Portia de Rossi,Comedy,https://www.imdb.com/title/tt0367279/
84,tt4574334,Stranger Things,2016,8.6,51m,2.7K,Millie Bobby Brown|Finn Wolfhard|Winona Ryder,Drama|Fantasy|Horror,https://www.imdb.com/title/tt4574334/
85,tt0248654,Six Feet Under,2001,8.6,1h,350,Peter Krause|Michael C. Hall|Frances Conroy,Comedy|Drama,https://www.imdb.com/title/tt0248654/
86,tt5788792,The Marvelous Mrs. Maisel,2017,8.6,57m,653,Rachel Brosnahan|Alex Borstein|Michael Zegen,Comedy|Drama,https://www.imdb.com/title/tt5788792/
87,tt0121955,South Park,1997,8.6,22m,551,Trey Parker|Matt Stone|Isaac Hayes,Animation|Comedy,https://www.imdb.com/title/tt0121955/
88,tt0086661,The Adventures of Sherlock Holmes,1984,8.6,1h,60,Jeremy Brett|David Burke|Rosalie Williams,Crime|Drama|Mystery,https://www.imdb.com/title/tt0086661/
89,tt0388629,One Piece: Wan pîsu,1999,8.6,24m,377,Mayumi Tanaka|Tony Beck|Laurent Vernin,Animation|Action|Adventure,https://www.imdb.com/title/tt0388629/
90,tt1190634,The Boys,2019,8.6,1h,2.1K,Karl Urban|Jack Quaid|Antony Starr,Action|Crime|Drama,https://www.imdb.com/title/tt1190634/
91,tt1856010,House of Cards,2013,8.6,51m,897,Kevin Spacey|Michel Gill|Robin Wright,Drama,https://www.imdb.com/title/tt1856010/
92,tt14392248,Aspirants,2021,8.6,45m,6.3K,Naveen Kasturia|Shivankit Singh Parihar|Abhilash Thapliyal,Drama,https://www.imdb.com/title/tt14392248/
93,tt6025022,Justice League Unlimited,2004,8.6,23m,16,George Newbern|Kevin Conroy|Phil LaMarr,Animation|Action|Adventure,https://www.imdb.com/title/tt6025022/
94,tt0407362,Battlestar Galactica,2004,8.6,44m,805,Edward James Olmos|Mary McDonnell|Jamie Bamber,Action|Adventure|Drama,https://www.imdb.com/title/tt0407362/
95,tt0459159,The Thick of It,2005,8.6,29m,49,Chris Addison|James Smith|Peter Capaldi,Comedy,https://www.imdb.com/title/tt0459159/
96,tt0412142,House M.D.,2004,8.6,44m,609,Hugh Laurie|Omar Epps|Robert Sean Leonard,Drama|Mystery,https://www.imdb.com/title/tt0412142/
97,tt0096697,The Simpsons,1989,8.6,22m,890,Dan Castellaneta|Nancy Cartwright|Harry Shearer,Animation|Comedy,https://www.imdb.com/title/tt0096697/
98,tt4299972,The Jinx: The Life and Deaths of Robert Durst,2015,8.6,4h 39m,49,Robert Durst|Andrew Jarecki|Gary Napoli,Documentary|Crime|Mystery,https://www.imdb.com/title/tt4299972/
99,tt0286486,The Shield,2002,8.6,47m,447,Michael Chiklis|Michael Jace|Jay Karnes,Crime|Drama|Thriller,https://www.imdb.com/title/tt0286486/
100,tt0318871,Kenpû Denki Berserk,1997,8.6,23m,118,Marc Diraison|Nobutoshi Canna|Carrie Keranen,Animation|Action|Adventure,https://www.imdb.com/title/tt0318871/
101,tt4786824,The Crown,2016,8.6,58m,723,Claire Foy|Olivia Colman|Imelda Staunton,Biography|Drama|History,https://www.imdb.com/title/tt4786824/
102,tt5712554,The Grand Tour,2016,8.6,1h,371,Jeremy Clarkson|James May|Richard Hammond,Comedy|Talk-Show,https://www.imdb.com/title/tt5712554/
103,tt1606375,Downton Abbey,2010,8.6,58m,289,Hugh Bonneville|Phyllis Logan|Elizabeth McGovern,Drama|Romance,https://www.imdb.com/title/tt1606375/
104,tt0090509,The Return of Sherlock Holmes,1986,8.6,1h,20,Jeremy Brett|Edward Hardwicke|Rosalie Williams,Nan,https://www.imdb.com/title/tt0090509/
105,tt2303687,Line of Duty,2012,8.6,1h,438,Martin Compston|Vicky McClure|Adrian Dunbar,Crime|Drama|Mystery,https://www.imdb.com/title/tt2303687/
106,tt9140342,It's a Sin,2021,8.6,3h 59m,379,Olly Alexander|Nathaniel Curtis|Shaun Dooley,Comedy|Drama|History,https://www.imdb.com/title/tt9140342/
107,tt0158417,Mahabharat,1988,8.6,45m,133,Harish Bhimani|Nitish Bharadwaj|Mukesh Khanna,Nan,https://www.imdb.com/title/tt0158417/
108,tt0348914,Deadwood,2004,8.6,55m,329,Timothy Olyphant|Ian McShane|Molly Parker,Crime|Drama|History,https://www.imdb.com/title/tt0348914/
109,tt0092455,Star Trek: The Next Generation,1987,8.6,44m,296,Patrick Stewart|Brent Spiner|Jonathan Frakes,Action|Adventure|Mystery,https://www.imdb.com/title/tt0092455/
110,tt1628033,Top Gear,2002,8.6,1h,162,Jeremy Clarkson|Richard Hammond|James May,Adventure|Comedy|Reality-TV,https://www.imdb.com/title/tt1628033/
111,tt4288182,Atlanta,2016,8.6,30m,110,Donald Glover|Brian Tyree Henry|LaKeith Stanfield,Comedy|Drama|Music,https://www.imdb.com/title/tt4288182/
112,tt0268093,Ramayan,1987,8.6,30m,213,Arun Govil|Deepika Chikhalia|Sunil Lahri,Nan,https://www.imdb.com/title/tt0268093/
113,tt3398540,Haikyuu!!,2014,8.6,24m,104,Ayumu Murase|Kaito Ishikawa|Yu Hayashi,Animation|Comedy|Drama,https://www.imdb.com/title/tt3398540/
114,tt0096639,Lonesome Dove,1989,8.6,6h 24m,216,Robert Duvall|Tommy Lee Jones|Danny Glover,Adventure|Drama|Western,https://www.imdb.com/title/tt0096639/
115,tt0804503,Mad Men,2007,8.6,47m,405,Jon Hamm|Elisabeth Moss|Vincent Kartheiser,Drama,https://www.imdb.com/title/tt0804503/
116,tt1733785,Bron/Broen,2011,8.6,1h,183,Sofia Helin|Rafael Pettersson|Sarah Boberg,Crime|Mystery|Thriller,https://www.imdb.com/title/tt1733785/
117,tt8289930,Formula 1: Drive to Survive,2019,8.6,40m,247,Valtteri Bottas|Will Buxton|Pierre Gasly,Documentary|Sport,https://www.imdb.com/title/tt8289930/
118,tt0994314,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006,8.6,24m,181,Jun Fukuyama|Takahiro Sakurai|Johnny Yong Bosch,Animation|Action|Drama,https://www.imdb.com/title/tt0994314/
119,tt1518542,Sarabhai V/S Sarabhai,2004,8.6,30m,56,Satish Shah|Ratna Pathak Shah|Sumeet Raghavan,Comedy,https://www.imdb.com/title/tt1518542/
120,tt0088484,Blackadder II,1986,8.6,2h 56m,54,Rowan Atkinson|Tony Robinson|Tim McInnerny,Nan,https://www.imdb.com/title/tt0088484/
121,tt1266020,Parks and Recreation,2009,8.6,22m,366,Amy Poehler|Jim O'Heir|Nick Offerman,Comedy,https://www.imdb.com/title/tt1266020/
122,tt9335498,Demon Slayer: Kimetsu No Yaiba,2019,8.6,25m,368,Natsuki Hanae|Zach Aguilar|Hiro Shimono,Animation|Action|Adventure,https://www.imdb.com/title/tt9335498/
123,tt1641384,Young Justice,2010,8.6,23m,132,Danica McKellar|Nolan North|Stephanie Lemelin,Animation|Action|Adventure,https://www.imdb.com/title/tt1641384/
